Country,Country Abbreviation,Year,Average annual working hours per worker
Portugal,PRT,1975,2105.2266
Singapore,SGP,1975,2225.8064
South Korea,KOR,1975,2810.707
Spain,ESP,1975,1996.3567
Sri Lanka,LKA,1975,1894.3438
Sweden,SWE,1975,1577.8241
Switzerland,CHE,1975,1894.04
Taiwan,TWN,1975,2322.5195
Thailand,THA,1975,2461.7449
Turkey,TUR,1975,2028
United Kingdom,GBR,1975,1814.0796
United States,USA,1975,1812.4165
Venezuela,VEN,1975,1974.0902
Vietnam,VNM,1975,2622.2305
Argentina,ARG,1976,1986.5415
Australia,AUS,1976,1910.6301
Austria,AUT,1976,1898.0424
Bangladesh,BGD,1976,2087.4951
Belgium,BEL,1976,1787.9839
Brazil,BRA,1976,2047.6881
Canada,CAN,1976,1862
Chile,CHL,1976,2378.0603
China,CHN,1976,1974.2075
Colombia,COL,1976,2112.0247
Denmark,DNK,1976,1623.5317
Finland,FIN,1976,1896.1288
France,FRA,1976,1856.8257
Germany,DEU,1976,1824.3066
Greece,GRC,1976,2106.6653
Hong Kong,HKG,1976,2518.0522
Iceland,ISL,1976,1813.778
India,IND,1976,2067.1599
Indonesia,IDN,1976,1972.9434
Ireland,IRL,1976,2232.2344
Italy,ITA,1976,1906.4534
Japan,JPN,1976,2057.5
Luxembourg,LUX,1976,1757.8225
Malaysia,MYS,1976,2269.095
Mexico,MEX,1976,2321.894
Myanmar,MMR,1976,2448.3887
Netherlands,NLD,1976,1651.4924
New Zealand,NZL,1976,1877.8325
Norway,NOR,1976,1674.0947
Pakistan,PAK,1976,2265.5247
Peru,PER,1976,2019.327
Philippines,PHL,1976,2124.6768
Portugal,PRT,1976,2100.8796
Singapore,SGP,1976,2250.8242
South Korea,KOR,1976,2895.5586
Spain,ESP,1976,2006.4636
Sri Lanka,LKA,1976,1894.2008
Sweden,SWE,1976,1590.8451
Switzerland,CHE,1976,1890.9156
Taiwan,TWN,1976,2317.8567
Thailand,THA,1976,2457.4976
Turkey,TUR,1976,2012
United Kingdom,GBR,1976,1807.0242
United States,USA,1976,1808.4502
Venezuela,VEN,1976,1978.651
Vietnam,VNM,1976,2623.5054
Argentina,ARG,1977,1983.3987
Australia,AUS,1977,1912.4364
Austria,AUT,1977,1904.7831
Bangladesh,BGD,1977,2089.5979
Belgium,BEL,1977,1762.5139
Brazil,BRA,1977,2031.8329
Canada,CAN,1977,1834
Chile,CHL,1977,2375.095
China,CHN,1977,1973.4353
Colombia,COL,1977,2102.4536
Denmark,DNK,1977,1598.6395
Finland,FIN,1977,1887.8368
France,FRA,1977,1819.907
Germany,DEU,1977,1806.2542
Greece,GRC,1977,2107.9543
Hong Kong,HKG,1977,2508.3438
Iceland,ISL,1977,1771.6417
India,IND,1977,2065.3796
Indonesia,IDN,1977,1990.8206
Ireland,IRL,1977,2202.6733
Italy,ITA,1977,1871.6073
Japan,JPN,1977,2064.0063
Luxembourg,LUX,1977,1732.7194
Malaysia,MYS,1977,2270.9912
Mexico,MEX,1977,2320.2815
Myanmar,MMR,1977,2447.6335
Netherlands,NLD,1977,1631.2665
New Zealand,NZL,1977,1874.0708
Norway,NOR,1977,1637.9404
Pakistan,PAK,1977,2220.8157
Peru,PER,1977,2012.8116
Philippines,PHL,1977,2161.4109
Portugal,PRT,1977,2101.811
Singapore,SGP,1977,2198.7766
South Korea,KOR,1977,2863.7393
Spain,ESP,1977,2000.2756
Sri Lanka,LKA,1977,1949.3335
Sweden,SWE,1977,1560.8611
Switzerland,CHE,1977,1863.4858
Taiwan,TWN,1977,2310.4609
Thailand,THA,1977,2453.686
Turkey,TUR,1977,1996
United Kingdom,GBR,1977,1816.9293
United States,USA,1977,1808.5083
Venezuela,VEN,1977,1983.2224
Vietnam,VNM,1977,2625.7358
Argentina,ARG,1978,1980.2609
Australia,AUS,1978,1913.2864
Austria,AUT,1978,1844.0676
Bangladesh,BGD,1978,2092.1418
Belgium,BEL,1978,1743.7579
Brazil,BRA,1978,2016.1005
Canada,CAN,1978,1836
Chile,CHL,1978,2372.1335
China,CHN,1978,1972.7274
Colombia,COL,1978,2092.926
Denmark,DNK,1978,1575.3319
Finland,FIN,1978,1893.2559
France,FRA,1978,1789.7493
Germany,DEU,1978,1787.1987
Greece,GRC,1978,2109.6099
Hong Kong,HKG,1978,2498.8701
Iceland,ISL,1978,1733.0608
India,IND,1978,2064.4177
Indonesia,IDN,1978,1975.8154
Ireland,IRL,1978,2183.0535
Italy,ITA,1978,1861.5642
Japan,JPN,1978,2067.9878
Luxembourg,LUX,1978,1715.1189
Malaysia,MYS,1978,2272.8708
Mexico,MEX,1978,2318.6697
Myanmar,MMR,1978,2446.9165
Netherlands,NLD,1978,1602.7205
New Zealand,NZL,1978,1870.369
Norway,NOR,1978,1601.4917
Pakistan,PAK,1978,2176.0486
Peru,PER,1978,2006.3173
Philippines,PHL,1978,2136.6262
Portugal,PRT,1978,2087.2092
Singapore,SGP,1978,2198.0557
South Korea,KOR,1978,2895.5586
Spain,ESP,1978,1973.4487
Sri Lanka,LKA,1978,1953.4127
Sweden,SWE,1978,1523.1381
Switzerland,CHE,1978,1849.0386
Taiwan,TWN,1978,2303.0276
Thailand,THA,1978,2528.9993
Turkey,TUR,1978,1980
United Kingdom,GBR,1978,1818.0375
United States,USA,1978,1814.8193
Venezuela,VEN,1978,1987.8043
Vietnam,VNM,1978,2626.2886
Argentina,ARG,1979,1977.1279
Australia,AUS,1979,1918.705
Austria,AUT,1979,1876.6804
Bangladesh,BGD,1979,2095.2627
Belgium,BEL,1979,1726.9879
Brazil,BRA,1979,2000.4897
Canada,CAN,1979,1841
Chile,CHL,1979,2369.1758
China,CHN,1979,1972.1038
Colombia,COL,1979,2083.4414
Denmark,DNK,1979,1563.6945
Finland,FIN,1979,1869.1428
France,FRA,1979,1787.0199
Germany,DEU,1979,1775.1637
Greece,GRC,1979,2111.0493
Hong Kong,HKG,1979,2490.3911
Iceland,ISL,1979,1720.1718
India,IND,1979,2064.2246
Indonesia,IDN,1979,1988.1433
Ireland,IRL,1979,2161.3406
Italy,ITA,1979,1855.0286
Japan,JPN,1979,2072.7031
Luxembourg,LUX,1979,1698.5089
Malaysia,MYS,1979,2274.7268
Mexico,MEX,1979,2317.0593
Myanmar,MMR,1979,2446.2368
Netherlands,NLD,1979,1581.2885
New Zealand,NZL,1979,1866.3364
Norway,NOR,1979,1580.1366
Pakistan,PAK,1979,2130.6965
Peru,PER,1979,1999.8439
Philippines,PHL,1979,2135.6489
Portugal,PRT,1979,2072.2349
Singapore,SGP,1979,2174.7175
South Korea,KOR,1979,2879.6489
Spain,ESP,1979,1929.3617
Sri Lanka,LKA,1979,1957.5671
Sweden,SWE,1979,1513.863
Switzerland,CHE,1979,1836.3763
Taiwan,TWN,1979,2336.6174
Thailand,THA,1979,2619.8672
Turkey,TUR,1979,1964
United Kingdom,GBR,1979,1815.493
United States,USA,1979,1817.1194
Venezuela,VEN,1979,1992.3969
Vietnam,VNM,1979,2627.8647
Argentina,ARG,1980,1974
Australia,AUS,1980,1919.1102
Austria,AUT,1980,1881.0354
Bangladesh,BGD,1980,2099.0146
Belgium,BEL,1980,1707.126
Brazil,BRA,1980,1985
Canada,CAN,1980,1827
Chile,CHL,1980,2366.2217
China,CHN,1980,1971.4967
Colombia,COL,1980,2074
Denmark,DNK,1980,1577.5864
Finland,FIN,1980,1849.1888
France,FRA,1980,1778.8678
Germany,DEU,1980,1756.1083
Greece,GRC,1980,2111.6992
Hong Kong,HKG,1980,2479.3877
Hungary,HUN,1980,2193.4773
Iceland,ISL,1980,1710.0775
India,IND,1980,2064.0278
Indonesia,IDN,1980,2003.2617
Ireland,IRL,1980,2122.1006
Italy,ITA,1980,1856.0651
Japan,JPN,1980,2073.9438
Luxembourg,LUX,1980,1682.3013
Malaysia,MYS,1980,2276.562
Mexico,MEX,1980,2315.4497
Myanmar,MMR,1980,2445.5898
Netherlands,NLD,1980,1578.3605
New Zealand,NZL,1980,1864.4515
Norway,NOR,1980,1579.7845
Pakistan,PAK,1980,2143.271
Peru,PER,1980,1993.3912
Philippines,PHL,1980,2134.4941
Portugal,PRT,1980,2053.4819
Singapore,SGP,1980,2182.9209
South Korea,KOR,1980,2863.7393
Spain,ESP,1980,1917.9247
Sri Lanka,LKA,1980,1961.8099
Sweden,SWE,1980,1516.8071
Switzerland,CHE,1980,1821.8396
Taiwan,TWN,1980,2313.9087
Thailand,THA,1980,2710.0938
Turkey,TUR,1980,1957
United Kingdom,GBR,1980,1785.3964
United States,USA,1980,1801.3328
Venezuela,VEN,1980,1997
Vietnam,VNM,1980,2629.6807
Argentina,ARG,1981,1961.2301
Australia,AUS,1981,1900.6442
Austria,AUT,1981,1819.1412
Bangladesh,BGD,1981,2103.7871
Belgium,BEL,1981,1683.522
Brazil,BRA,1981,1974.0968
Canada,CAN,1981,1812
Chile,CHL,1981,2371.7322
China,CHN,1981,1971.1016
Colombia,COL,1981,2063.2231
Denmark,DNK,1981,1546.246
Finland,FIN,1981,1854.7941
France,FRA,1981,1759.6193
Germany,DEU,1981,1734.0441
Greece,GRC,1981,2111.7839
Hong Kong,HKG,1981,2466.1563
Hungary,HUN,1981,2192.4775
Iceland,ISL,1981,1703.6434
India,IND,1981,2063.623
Indonesia,IDN,1981,2034.144
Ireland,IRL,1981,2090.7085
Israel,ISR,1981,1966.0331
Italy,ITA,1981,1862.3245
Japan,JPN,1981,2068.8276
Luxembourg,LUX,1981,1658.0519
Malaysia,MYS,1981,2277.6987
Mexico,MEX,1981,2316.4517
Myanmar,MMR,1981,2444.5784
Netherlands,NLD,1981,1577.8354
New Zealand,NZL,1981,1861.2894
Norway,NOR,1981,1569.9088
Pakistan,PAK,1981,2125.9895
Peru,PER,1981,1986.9596
Philippines,PHL,1981,2135.5039
Portugal,PRT,1981,2036.1785
Singapore,SGP,1981,2208.874
South Korea,KOR,1981,2879.7378
Spain,ESP,1981,1884.1837
Sri Lanka,LKA,1981,1969.6782
Sweden,SWE,1981,1508.4111
Switzerland,CHE,1981,1802.5231
Taiwan,TWN,1981,2310.124
Thailand,THA,1981,2632.8503
Turkey,TUR,1981,1950
United Kingdom,GBR,1981,1749.12
United States,USA,1981,1788.8071
Venezuela,VEN,1981,1985.9822
Vietnam,VNM,1981,2631.8984
Argentina,ARG,1982,1948.5427
Australia,AUS,1982,1881.5066
Austria,AUT,1982,1835.1189
Bangladesh,BGD,1982,2117.376
Belgium,BEL,1982,1669.516
Brazil,BRA,1982,1963.2535
Canada,CAN,1982,1789
Chile,CHL,1982,2377.2556
China,CHN,1982,1970.7063
Colombia,COL,1982,2052.5022
Denmark,DNK,1982,1552.7933
Finland,FIN,1982,1840.2738
France,FRA,1982,1687.9171
Germany,DEU,1982,1723.012
Greece,GRC,1982,2111.3945
Hong Kong,HKG,1982,2441.6013
Hungary,HUN,1982,2099.4998
Iceland,ISL,1982,1706.3849
India,IND,1982,2064.1531
Indonesia,IDN,1982,2013.3235
Ireland,IRL,1982,2083.3838
Israel,ISR,1982,1941.761
Italy,ITA,1982,1873.733
Japan,JPN,1982,2068.6187
Luxembourg,LUX,1982,1640.4119
Malaysia,MYS,1982,2278.4895
Mexico,MEX,1982,2317.4539
Myanmar,MMR,1982,2443.6143
Netherlands,NLD,1982,1563.3324
New Zealand,NZL,1982,1846.8429
Norway,NOR,1982,1558.481
Pakistan,PAK,1982,2129.3101
Peru,PER,1982,1980.5486
Philippines,PHL,1982,2131.0586
Portugal,PRT,1982,2016.1331
Singapore,SGP,1982,2215.0676
South Korea,KOR,1982,2892.7366
Spain,ESP,1982,1862.4357
Sri Lanka,LKA,1982,1972.9618
Sweden,SWE,1982,1522.5421
Switzerland,CHE,1982,1791.4211
Taiwan,TWN,1982,2269.4377
Thailand,THA,1982,2348.6577
Turkey,TUR,1982,1943
United Kingdom,GBR,1982,1745.4192
United States,USA,1982,1771.0435
Venezuela,VEN,1982,1975.0251
Vietnam,VNM,1982,2633.2598
Argentina,ARG,1983,1935.9375
Australia,AUS,1983,1869.0269
Austria,AUT,1983,1829.9122
Bangladesh,BGD,1983,2130.7109
Belgium,BEL,1983,1675.5209
Brazil,BRA,1983,1952.4698
Canada,CAN,1983,1779
Chile,CHL,1983,2382.7917
China,CHN,1983,1970.1927
Colombia,COL,1983,2041.8372
Denmark,DNK,1983,1545.7714
Finland,FIN,1983,1822.6447
France,FRA,1983,1670.7448
Germany,DEU,1983,1709.974
Greece,GRC,1983,2108.8662
Hong Kong,HKG,1983,2410.731
Hungary,HUN,1983,2079.5046
Iceland,ISL,1983,1706.3986
India,IND,1983,2065.1204
Indonesia,IDN,1983,2051.5149
Ireland,IRL,1983,2073.1814
Israel,ISR,1983,1928.6136
Italy,ITA,1983,1873.0464
Japan,JPN,1983,2074.8601
Luxembourg,LUX,1983,1634.7815
Malaysia,MYS,1983,2277.4053
Mexico,MEX,1983,2318.4563
Myanmar,MMR,1983,2442.689
Netherlands,NLD,1983,1548.4104
New Zealand,NZL,1983,1844.5219
Norway,NOR,1983,1553.8071
Pakistan,PAK,1983,2132.9883
Peru,PER,1983,1974.1583
Philippines,PHL,1983,2141.8547
Portugal,PRT,1983,1998.1772
Singapore,SGP,1983,2220.1228
South Korea,KOR,1983,2910.7349
Spain,ESP,1983,1830.6687
Sri Lanka,LKA,1983,1986.3512
Sweden,SWE,1983,1531.8391
Switzerland,CHE,1983,1776.668
Taiwan,TWN,1983,2254.772
Thailand,THA,1983,2682.0732
Turkey,TUR,1983,1935
United Kingdom,GBR,1983,1739.5485
United States,USA,1983,1779.0808
Venezuela,VEN,1983,1964.1285
Vietnam,VNM,1983,2634.9053
Argentina,ARG,1984,1923.4137
Australia,AUS,1984,1883.6864
Austria,AUT,1984,1825.9255
Bangladesh,BGD,1984,2143.5508
Belgium,BEL,1984,1699.528
Brazil,BRA,1984,1941.7454
Canada,CAN,1984,1789
Chile,CHL,1984,2388.3411
China,CHN,1984,1969.7229
Colombia,COL,1984,2031.2274
Denmark,DNK,1984,1540.6416
Finland,FIN,1984,1813.7013
France,FRA,1984,1664.9539
Germany,DEU,1984,1698.942
Greece,GRC,1984,2108.4956
Hong Kong,HKG,1984,2381.7666
Hungary,HUN,1984,2007.5217
Iceland,ISL,1984,1704.5583
India,IND,1984,2066.7083
Indonesia,IDN,1984,2056.8665
Ireland,IRL,1984,2055.1309
Israel,ISR,1984,1931.6477
Italy,ITA,1984,1862.6731
Japan,JPN,1984,2089.2798
Luxembourg,LUX,1984,1621.1965
Malaysia,MYS,1984,2283.334
Mexico,MEX,1984,2319.4595
Myanmar,MMR,1984,2443.3994
Netherlands,NLD,1984,1540.2925
New Zealand,NZL,1984,1852.9146
Norway,NOR,1984,1548.6146
Pakistan,PAK,1984,2140.3125
Peru,PER,1984,1967.7887
Philippines,PHL,1984,2172.7959
Portugal,PRT,1984,1981.213
Singapore,SGP,1984,2229.2292
South Korea,KOR,1984,2906.7354
Spain,ESP,1984,1786.1127
Sri Lanka,LKA,1984,1966.2671
Sweden,SWE,1984,1534.0171
Switzerland,CHE,1984,1757.5706
Taiwan,TWN,1984,2254.2988
Thailand,THA,1984,2700.7273
Turkey,TUR,1984,1871
United Kingdom,GBR,1984,1745.7526
United States,USA,1984,1794.722
Venezuela,VEN,1984,1953.2921
Vietnam,VNM,1984,2637.0962
Argentina,ARG,1985,1910.9711
Australia,AUS,1985,1870.23
Austria,AUT,1985,1821.5303
Bangladesh,BGD,1985,2111.8611
Belgium,BEL,1985,1705.5309
Brazil,BRA,1985,1931.0797
Canada,CAN,1985,1795
Chile,CHL,1985,2393.9031
China,CHN,1985,1969.3905
Colombia,COL,1985,2020.6729
Denmark,DNK,1985,1527.7089
Finland,FIN,1985,1813.3021
France,FRA,1985,1630.4366
Germany,DEU,1985,1675.8749
Greece,GRC,1985,2107.4692
Hong Kong,HKG,1985,2356.0828
Hungary,HUN,1985,1980.5281
Iceland,ISL,1985,1703.6495
India,IND,1985,2068.6077
Indonesia,IDN,1985,2029.0776
Ireland,IRL,1985,2062.1941
Israel,ISR,1985,1931.6477
Italy,ITA,1985,1859.1587
Japan,JPN,1985,2076.7673
Luxembourg,LUX,1985,1634.8575
Malaysia,MYS,1985,2279.4492
Mexico,MEX,1985,2320.4629
Myanmar,MMR,1985,2444.1794
Netherlands,NLD,1985,1523.8414
New Zealand,NZL,1985,1837.2321
Norway,NOR,1985,1542.6471
Pakistan,PAK,1985,2157.97
Peru,PER,1985,1961.4396
Philippines,PHL,1985,2174.2009
Portugal,PRT,1985,1966.8304
Saint Lucia,LCA,1985,1959.8116
Singapore,SGP,1985,2189.9102
South Korea,KOR,1985,2881.7375
Spain,ESP,1985,1776.2207
Sri Lanka,LKA,1985,1893.4132
Sweden,SWE,1985,1538.0541
Switzerland,CHE,1985,1751.3289
Taiwan,TWN,1985,2244.3638
Thailand,THA,1985,2672.2749
Turkey,TUR,1985,1898
United Kingdom,GBR,1985,1748.0818
United States,USA,1985,1800.7004
Venezuela,VEN,1985,1942.5154
Vietnam,VNM,1985,2638.3945
Argentina,ARG,1986,1898.6089
Australia,AUS,1986,1880.6699
Austria,AUT,1986,1820.7109
Bangladesh,BGD,1986,2083.7917
Belgium,BEL,1986,1685.5239
Brazil,BRA,1986,1920.4728
Canada,CAN,1986,1797
Chile,CHL,1986,2399.478
China,CHN,1986,1970.4417
Colombia,COL,1986,2010.1731
Denmark,DNK,1986,1530.6967
Finland,FIN,1986,1792.5872
France,FRA,1986,1626.7152
Germany,DEU,1986,1656.8195
Greece,GRC,1986,2107.8125
Hong Kong,HKG,1986,2360.2485
Hungary,HUN,1986,1971.5303
Iceland,ISL,1986,1696.3209
India,IND,1986,2070.5779
Indonesia,IDN,1986,1887.9058
Ireland,IRL,1986,2096.7253
Israel,ISR,1986,1926.5911
Italy,ITA,1986,1867.5593
Jamaica,JAM,1986,1864.8246
Japan,JPN,1986,2078.4951
Luxembourg,LUX,1986,1626.6595
Malaysia,MYS,1986,2272.2869
Mexico,MEX,1986,2321.4668
Myanmar,MMR,1986,2445.1855
Netherlands,NLD,1986,1508.9044
New Zealand,NZL,1986,1834
Norway,NOR,1986,1538.2059
Pakistan,PAK,1986,2164.0027
Peru,PER,1986,1955.111
Philippines,PHL,1986,2171.3867
Portugal,PRT,1986,1954.4536
Saint Lucia,LCA,1986,1943.3939
Singapore,SGP,1986,2222.7244
South Korea,KOR,1986,2910.7349
Spain,ESP,1986,1768.2877
Sri Lanka,LKA,1986,1956.422
Sweden,SWE,1986,1536.0721
Switzerland,CHE,1986,1742.7521
Taiwan,TWN,1986,2242.9446
Thailand,THA,1986,2671.416
Turkey,TUR,1986,1883
United Kingdom,GBR,1986,1742.7368
United States,USA,1986,1780.5117
Venezuela,VEN,1986,1931.7982
Vietnam,VNM,1986,2637.0444
Argentina,ARG,1987,1886.3267
Australia,AUS,1987,1877.5311
Austria,AUT,1987,1808.7163
Bangladesh,BGD,1987,2066.4663
Belgium,BEL,1987,1670.5179
Brazil,BRA,1987,1909.924
Canada,CAN,1987,1807
Chile,CHL,1987,2405.0659
China,CHN,1987,1971.4633
Colombia,COL,1987,1999.7279
Costa Rica,CRI,1987,2371.7446
Denmark,DNK,1987,1492.7634
Finland,FIN,1987,1798.1265
France,FRA,1987,1638.9984
Germany,DEU,1987,1633.7523
Greece,GRC,1987,2110.0713
Hong Kong,HKG,1987,2324.3062
Hungary,HUN,1987,2015.5198
Iceland,ISL,1987,1694.4543
India,IND,1987,2072.2705
Indonesia,IDN,1987,1890.0297
Ireland,IRL,1987,2076.0591
Israel,ISR,1987,1920.5231
Italy,ITA,1987,1886.6825
Jamaica,JAM,1987,1893.6748
Japan,JPN,1987,2083.9683
Luxembourg,LUX,1987,1624.8335
Malaysia,MYS,1987,2273.1543
Mexico,MEX,1987,2322.4712
Myanmar,MMR,1987,2446.2239
Netherlands,NLD,1987,1487.6425
New Zealand,NZL,1987,1838
Norway,NOR,1987,1510.6976
Pakistan,PAK,1987,2134.238
Peru,PER,1987,1948.8027
Philippines,PHL,1987,2179.793
Portugal,PRT,1987,1969.7723
Saint Lucia,LCA,1987,1924.8438
Singapore,SGP,1987,2252.5029
South Korea,KOR,1987,2879.7378
Spain,ESP,1987,1760.3707
Sri Lanka,LKA,1987,1962.3741
Sweden,SWE,1987,1546.1901
Switzerland,CHE,1987,1741.4824
Taiwan,TWN,1987,2276.5342
Thailand,THA,1987,2625.6653
Turkey,TUR,1987,1844
United Kingdom,GBR,1987,1747.5668
United States,USA,1987,1787.9778
Venezuela,VEN,1987,1921.1401
Vietnam,VNM,1987,2640.365
Argentina,ARG,1988,1874.1238
Australia,AUS,1988,1874.5796
Austria,AUT,1988,1812.1312
Bangladesh,BGD,1988,2052.2288
Belgium,BEL,1988,1658.516
Brazil,BRA,1988,1899.4332
Canada,CAN,1988,1808
Chile,CHL,1988,2410.667
China,CHN,1988,1972.6764
Colombia,COL,1988,1989.3369
Costa Rica,CRI,1988,2351.5657
Denmark,DNK,1988,1471.0034
Finland,FIN,1988,1806.1799
France,FRA,1988,1648.225
Germany,DEU,1988,1628.7378
Greece,GRC,1988,2107.2549
Hong Kong,HKG,1988,2372.4387
Hungary,HUN,1988,2009.5212
Iceland,ISL,1988,1701.8008
India,IND,1988,2075.0774
Indonesia,IDN,1988,1886.1644
Ireland,IRL,1988,2084.4302
Israel,ISR,1988,1878.047
Italy,ITA,1988,1890.4023
Jamaica,JAM,1988,1914.9969
Japan,JPN,1988,2080.4377
Luxembourg,LUX,1988,1644.8755
Malaysia,MYS,1988,2271.488
Mexico,MEX,1988,2323.4761
Myanmar,MMR,1988,2447.2898
Netherlands,NLD,1988,1484.4354
New Zealand,NZL,1988,1829
Norway,NOR,1988,1513.5641
Pakistan,PAK,1988,2108.9004
Peru,PER,1988,1942.5149
Philippines,PHL,1988,2188.2681
Portugal,PRT,1988,1949.9332
Saint Lucia,LCA,1988,1898.2477
Singapore,SGP,1988,2265.7773
South Korea,KOR,1988,2833.7419
Spain,ESP,1988,1756.3987
Sri Lanka,LKA,1988,1968.3154
Sweden,SWE,1988,1565.7601
Switzerland,CHE,1988,1740.955
Taiwan,TWN,1988,2250.5142
Thailand,THA,1988,2648.564
Turkey,TUR,1988,1837
United Kingdom,GBR,1988,1754.7257
United States,USA,1988,1797.7433
Venezuela,VEN,1988,1910.5408
Vietnam,VNM,1988,2641.1133
Argentina,ARG,1989,1862
Australia,AUS,1989,1887.2697
Austria,AUT,1989,1825.2433
Bangladesh,BGD,1989,2040.8845
Belgium,BEL,1989,1649.511
Brazil,BRA,1989,1889
Canada,CAN,1989,1802
Chile,CHL,1989,2416.281
China,CHN,1989,1973.9873
Colombia,COL,1989,1979
Costa Rica,CRI,1989,2313.1028
Denmark,DNK,1989,1455.0714
Finland,FIN,1989,1802.1422
France,FRA,1989,1633.6821
Germany,DEU,1989,1605.6707
Greece,GRC,1989,2109.304
Hong Kong,HKG,1989,2314.0313
Hungary,HUN,1989,1984.5272
Iceland,ISL,1989,1697.2434
India,IND,1989,2078.1321
Indonesia,IDN,1989,1891.3917
Ireland,IRL,1989,2091.7549
Israel,ISR,1989,1909.3983
Italy,ITA,1989,1874.5634
Jamaica,JAM,1989,1972.9108
Japan,JPN,1989,2061.3616
Luxembourg,LUX,1989,1633.9436
Malaysia,MYS,1989,2279.645
Mexico,MEX,1989,2324.4812
Myanmar,MMR,1989,2448.3792
Netherlands,NLD,1989,1479.6885
New Zealand,NZL,1989,1820
Norway,NOR,1989,1510.8329
Pakistan,PAK,1989,2138.9285
Peru,PER,1989,1936.2473
Philippines,PHL,1989,2197.3484
Portugal,PRT,1989,1978.3394
Saint Lucia,LCA,1989,1880.4877
Singapore,SGP,1989,2322.6218
South Korea,KOR,1989,2730.7515
Spain,ESP,1989,1744.4807
Sri Lanka,LKA,1989,1974.3776
Sweden,SWE,1989,1564.6121
Switzerland,CHE,1989,1725.7891
Taiwan,TWN,1989,2231.5903
Thailand,THA,1989,2715.4182
Turkey,TUR,1989,1867
United Kingdom,GBR,1989,1758.5569
United States,USA,1989,1809.9222
Venezuela,VEN,1989,1900
Vietnam,VNM,1989,2641.7573
Argentina,ARG,1990,1850
Australia,AUS,1990,1867.9515
Austria,AUT,1990,1826.0298
Bangladesh,BGD,1990,2122.0144
Belgium,BEL,1990,1663.517
Brazil,BRA,1990,1879
Canada,CAN,1990,1797
Chile,CHL,1990,2422.3857
China,CHN,1990,1975.354
Colombia,COL,1990,1969
Costa Rica,CRI,1990,2363.5396
Denmark,DNK,1990,1440.549
Finland,FIN,1990,1769.1191
France,FRA,1990,1629.0961
Germany,DEU,1990,1582.6035
Greece,GRC,1990,2111.6228
Hong Kong,HKG,1990,2278.522
Hungary,HUN,1990,1944.5367
Iceland,ISL,1990,1687.1472
India,IND,1990,2078.4795
Indonesia,IDN,1990,1909.3696
Ireland,IRL,1990,2080.2446
Israel,ISR,1990,1904.3417
Italy,ITA,1990,1863.8346
Jamaica,JAM,1990,1938.2228
Japan,JPN,1990,2028.4187
Luxembourg,LUX,1990,1633.9415
Malaysia,MYS,1990,2283.2698
Mexico,MEX,1990,2325.6104
Myanmar,MMR,1990,2449.4873
Netherlands,NLD,1990,1473.8715
New Zealand,NZL,1990,1809
Norway,NOR,1990,1502.6711
Pakistan,PAK,1990,2167.2649
Peru,PER,1990,1930
Philippines,PHL,1990,2191.7815
Portugal,PRT,1990,1967.8943
Saint Lucia,LCA,1990,1881.7997
Singapore,SGP,1990,2326.9338
Slovakia,SVK,1990,1827.6455
South Korea,KOR,1990,2676.7563
Spain,ESP,1990,1746.4478
Sri Lanka,LKA,1990,1980.6451
Sweden,SWE,1990,1560.9371
Switzerland,CHE,1990,1716.2208
Taiwan,TWN,1990,2230.644
Thailand,THA,1990,2579.7546
Turkey,TUR,1990,1866
United Kingdom,GBR,1990,1745.9441
United States,USA,1990,1795.5515
Uruguay,URY,1990,1788
Venezuela,VEN,1990,1889
Vietnam,VNM,1990,2643.469
Argentina,ARG,1991,1837.9608
Australia,AUS,1991,1853.8984
Austria,AUT,1991,1836.4442
Bangladesh,BGD,1991,2204.1492
Barbados,BRB,1991,1658.1062
Belgium,BEL,1991,1626.5049
Brazil,BRA,1991,1868.4705
Canada,CAN,1991,1775
Chile,CHL,1991,2418.905
China,CHN,1991,1976.88
Colombia,COL,1991,1958.9745
Costa Rica,CRI,1991,2278.2588
Denmark,DNK,1991,1437.0579
Finland,FIN,1991,1747.4368
France,FRA,1991,1622.6208
Germany,DEU,1991,1553.5189
Greece,GRC,1991,2112.8909
Hong Kong,HKG,1991,2309.9045
Hungary,HUN,1991,1912.5443
Iceland,ISL,1991,1690.7538
India,IND,1991,2079.3042
Indonesia,IDN,1991,1928.2959
Ireland,IRL,1991,2045.1902
Israel,ISR,1991,1897.2623
Italy,ITA,1991,1856.8695
Jamaica,JAM,1991,1947.975
Japan,JPN,1991,2010.7419
Luxembourg,LUX,1991,1616.6366
Malaysia,MYS,1991,2290.6899
Mexico,MEX,1991,2319.2534
Myanmar,MMR,1991,2449.9634
Netherlands,NLD,1991,1464.7715
New Zealand,NZL,1991,1792
Norway,NOR,1991,1500.4907
Pakistan,PAK,1991,2205.8513
Peru,PER,1991,1928.9998
Philippines,PHL,1991,2176.1108
Portugal,PRT,1991,1888.8375
Saint Lucia,LCA,1991,1897.3466
Singapore,SGP,1991,2346.3354
Slovakia,SVK,1991,1827.7343
South Korea,KOR,1991,2660.7578
Spain,ESP,1991,1755.3497
Sri Lanka,LKA,1991,1997.9506
Sweden,SWE,1991,1547.6721
Switzerland,CHE,1991,1713.7753
Taiwan,TWN,1991,2217.8704
Thailand,THA,1991,2627.6155
Trinidad and Tobago,TTO,1991,1585.0601
Turkey,TUR,1991,1870
United Kingdom,GBR,1991,1720.5466
