id,date,userName,userUrl,version,score,title,text,url,country,appId
10990027692,2024-02-28T13:15:16-07:00,a71209417cc69068db96287dcfa258e84a19b36c4435219bb96a535e7c868311,c6434d50f03dc3225343d08cb75b120e19dc21937007dae69f41e2058a788b27,24.4.78,1,Status sounds,No sound comes from status videos after I updated my IOS. Frustrating!,https://itunes.apple.com/au/review?id=1386412985&type=Purple%20Software,AU,1386412985
10939311897,2024-02-14T14:47:02-07:00,9f7302dde70e971b057aa14cec1d26479a9362da32e9ed93d1c2e1da1b0ac614,55105d432b1d6c664523f5de2576a199f8ffa8d8c20e8adcaa38ebdd5b4c9c07,24.3.76,2,Calls,"Every time I’m on a phone call, it either cut off or losing sound n lots of noises from the background or it goes in to silent mode n we don’t hear one another o vide versa.
Thank you.",https://itunes.apple.com/au/review?id=1386412985&type=Purple%20Software,AU,1386412985
10932303253,2024-02-12T15:54:56-07:00,ee939200223a21c2bdea5d17ef0ae2d9a03acfbb914c73a8ec8354b1592c5187,1c044d9599692ebd0d50f4fb8d886f622ee02c549d76f891078b4decbb634cc6,24.3.76,4,Recommendations,"I like being to have a separate account/app for my personal and business Whatsapp. 
Also useful to have features such as automatic responses etc.
1. I would recommend adding : ability to schedule messages to send to customers/clients
2. Adding ability to created a community on Whatsapp Business

That would be amazing!",https://itunes.apple.com/au/review?id=1386412985&type=Purple%20Software,AU,1386412985
10859859638,2024-01-24T12:47:22-07:00,10c5a49c9a79ddf4cd973abd6f125b5bf98d9e6cf22fbdb4a54253efe4786668,f713d7f8bf1c1400a223d76013914de72a242f8113163aaa28f1ecf0115e452c,24.1.80,5,Subject: Request for Premium Features in WhatsApp Australia,"Dear WhatsApp Support Team,

I hope this message finds you well. I am writing to express the interest of many users in Australia, including myself, for the availability of premium features in WhatsApp.

We believe that having access to premium features would enhance our overall experience and provide additional functionalities that could be valuable for both personal and professional communication.

Considering the growing user base in Australia, we kindly request you to consider making WhatsApp Premium available in our region.

Thank you for your attention to this matter, and we appreciate your continuous efforts in improving the WhatsApp experience for users worldwide.",https://itunes.apple.com/au/review?id=1386412985&type=Purple%20Software,AU,1386412985
10758670982,2023-12-29T05:13:49-07:00,83481ba5686098a9f7b2b9e374dc5ed7a3627bcd5eb28f907b3a00ca7ee638f6,59528539b374bc7bc8941a2785953ba58da70690e9fdd892b8099995f2da3115,23.25.86,2,Not satisfied yet,Only seems like someone clicks on your ad when you pause it,https://itunes.apple.com/au/review?id=1386412985&type=Purple%20Software,AU,1386412985
10745591318,2023-12-25T21:11:41-07:00,abf9040f6eec5c83ff0cabb20346274caa6b8d81102343cded1bd9d2e437feec,5a25a60cfce8ceffded3c1ff35bb1e11c1f9b0e74f1e0db3934a436649da7922,23.25.86,5,Great App,"Easy to use, great app, very effective",https://itunes.apple.com/au/review?id=1386412985&type=Purple%20Software,AU,1386412985
10661621070,2023-12-05T16:43:45-07:00,c83b0069a2af6f996db998f9e2ef1a7e585cadd9b817b008c0f7a6a469e734bc,ded684cbe28821a71eaf33c879575ca0604e66b9f8a1e092a10902350db0d928,23.24.73,3,App Crashes,App is crashing and asking to restart everytime on iphone,https://itunes.apple.com/au/review?id=1386412985&type=Purple%20Software,AU,1386412985
10546139457,2023-11-03T09:52:21-07:00,d3ff9718fa934277b0fe5a871910ea6da212f5d19c0459204548237b494ebed6,4550fd62b1e564cef8759f6eeafcd2c428c49e2298b8b8d199aecbb387987d2e,23.23.75,5,It’s the best app ever!,I love it here,https://itunes.apple.com/au/review?id=1386412985&type=Purple%20Software,AU,1386412985
10523628346,2023-10-28T01:32:52-07:00,3771854350e5cd1b5fd4b8a0db04413d7bf0902adae9b46c3c7e69560a61ca5c,06fe665e5e057b27397b8e564abf8b7069f9068cfba5eff4eb93751dabfcb62c,23.22.72,2,Mi WhatsApp se cierra solo,"Tengo problemas con WhatsApp busssines, ya que la aplicación se cierra sola",https://itunes.apple.com/au/review?id=1386412985&type=Purple%20Software,AU,1386412985
10505654917,2023-10-22T21:38:09-07:00,66d51b0333b3c87b6cadcb91ec690f62282ede6a2516e018a43d923653cf1a57,3c0d5750f129b93ba7eb0699006c3aa3a5e3f482a6ca0d284a2fbc3088f272bc,23.21.77,3,Back ups not working,"Back up, works intermittently and needs to be checked all the time. 
System froze and notification’s stopped working. 
Frustrating",https://itunes.apple.com/au/review?id=1386412985&type=Purple%20Software,AU,1386412985
